"Laikotarpis","Rodiklis","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Kodas","Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP):Pavadinimas","Lyginimas","Matavimo vienetai","Reikšmė"
"2022M11","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","18.8"
"2022M10","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","17.7"
"2022M09","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","16.3"
"2022M08","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","14.8"
"2022M07","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","13.4"
"2022M06","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","12.0"
"2022M05","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","10.5"
"2022M04","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","9.2"
"2022M03","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","8.0"
"2022M02","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","6.8"
"2022M01","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","5.7"
"2021M12","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","4.7"
"2021M11","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","3.8"
"2021M10","Vartotojų kainų pokyčiai, apskaičiuoti pagal vartotojų kainų indeksą","00","Vartojimo prekės ir paslaugos","12 paskutinių mėnesių, palyginti su atitinkamais ankstesniais 12 mėnesių","proc.","3.1"
